"dress_leisure","dress_work","fit_top","fit_bottom","highlight","cover","body_shape","eyes","hair","size_top","size_bottom","size_footwear","size_bra","size_cup","height","weight","focus","adventurous","styles","prices","avoid","footwear","footwear_priority","footwear_families","job","birthdate","is_mother"
1,1,3,2,,2,4,5,2,6,6,5,8,"B","170.18","82.63","1,5",1,"1,2",1,"1,8,2,5",1,"1,10","2,5",14,1955-02-15,"false"
2,1,3,1,4,,2,4,6,5,5,2,7,"D",157,80,"3,5,4",3,"6,3",1,9,,,,14,1995-12-15,"false"
4,4,1,1,"3,4",,4,4,5,2,2,2,2,"B",170,53,4,3,"5,6",1,"5,8,7","1,4",6,"1,5,2",10,2003-06-14,"false"
3,3,1,2,4,"3,5",5,3,5,7,8,5,5,"C",172,95,"5,3,1",2,6,1,"7,1",2,1,2,5,,"true"
1,1,3,2,,,6,5,2,5,5,6,3,"D","175.26","82.63",3,4,"4,2",2,"5,7,8","2,3","4,6","1,6",4,1968-12-31,"true"
2,4,1,1,,"2,3,4,5",1,3,3,4,4,6,5,"B",170,65,2,4,,1,"1,2,6,3,4,9",,,,1,1991-08-08,"true"
1,4,2,2,,"4,5,3",1,5,4,6,8,1,9,"C",176,115,"3,4",5,"3,1",1,"5,1","1,2","1,4",5,4,1989-01-06,"true"
1,4,3,1,,4,2,1,2,3,3,6,4,"D","162.56","77.18","2,5",4,6,1,"1,8,7,5","2,1",1,5,2,1994-02-23,"true"
1,3,2,1,"5,3","2,4",3,4,2,5,5,1,5,"B",155,70,"3,5",3,1,1,"6,7",3,10,1,14,1971-01-28,"true"
2,3,2,1,3,2,2,5,2,5,5,3,5,"D","165.1","70.82",5,5,2,2,5,3,"6,1","1,6",14,1965-02-10,"true"
1,4,1,1,,4,1,5,3,4,4,5,4,"B",175,72,"3,4",3,5,2,,"1,2","4,1",,2,1984-02-26,"true"
1,1,3,2,"1,2,3,5",,4,1,2,5,5,6,6,"D",168,72,"5,4,3",4,"5,2",1,7,"2,3","4,1",6,3,1974-06-17,"true"
2,4,1,1,"1,3,4,5",,1,4,6,4,3,2,4,"D",152,57,"5,4",4,"5,2",3,,3,6,"1,4",14,1974-06-12,"true"
2,4,3,1,5,1,3,1,2,2,2,2,3,"B",168,52,"4,3",3,"1,5",1,"5,1,8","1,3","4,1","4,5",4,1982-04-13,"true"
1,1,3,1,,,2,5,1,4,5,5,4,"D",160,70,"3,4,5",5,"6,4",1,,3,"1,10",,4,1976-07-20,"true"
4,2,3,1,"1,3,4,5",,5,3,3,8,7,3,5,"FF","157.48","99.88","2,5,4",3,"1,5",1,,1,1,5,3,1988-07-09,"false"
1,3,2,2,"1,3",4,2,5,2,5,6,4,7,"C",172,78,"5,3",3,"5,2",1,7,3,10,"6,1",4,1984-12-24,"true"
2,4,3,2,,"2,3",4,3,6,4,4,4,3,"A",160,62,"1,5,2",2,"1,5",1,"5,7",2,"6,1,10,4","4,5",14,1954-06-28,"false"
2,2,3,1,5,"2,4",2,3,5,8,8,6,7,"E",168,98,"4,5,3",3,"2,1",1,5,"2,3,1","4,6,1","2,3,4,5,6,1",5,1978-03-26,"true"
1,1,1,2,"1,4","2,3",5,3,2,4,5,3,4,"B",160,78,"2,4,3",2,"1,2",1,8,2,1,4,12,1972-01-26,"true"
3,2,2,1,,"2,4",2,5,3,4,4,4,5,"C","165.1","80.36","2,5",2,2,1,,1,"4,1,10",5,2,1996-07-16,"false"
1,1,3,1,,4,5,5,2,4,5,3,5,"B","160.02","79.45","3,5",4,"1,5",1,,"3,2,1",1,6,10,1974-05-23,"true"
1,1,2,1,"3,4,1",,5,4,2,4,4,3,3,"E",170,70,2,2,4,1,"8,9,6,7",,,,3,1999-11-14,"true"
1,2,2,2,1,"4,5",6,1,5,7,7,7,3,"FF","182.88","104.87","5,3,4",3,"1,4",2,"8,9,7,6",,,,11,1977-05-21,"true"
1,3,2,2,1,"2,5",4,4,1,4,4,2,5,"C",165,70,"4,2",3,5,2,"7,8",3,"6,1",5,5,1961-08-19,"true"
4,1,3,2,,4,2,5,2,5,5,4,4,"F",166,80,"4,5",3,"5,4",1,,"1,3,2","1,10",,2,1993-03-11,"true"
1,1,2,1,"3,4",2,5,1,3,3,3,2,4,"D",158,69,"3,5",3,"5,6",1,,2,"6,1,10",5,3,1992-06-01,"true"
1,4,1,2,"3,5",,1,3,3,3,2,0,4,"C",156,53,"4,5,2",3,"1,4",1,"6,7,8,9",,,,4,1966-01-24,"true"
4,4,3,2,1,,2,3,5,4,4,4,5,"D",165,68,"3,5,4",4,"6,5",1,,2,"6,1,10",,14,1986-08-20,"true"
2,3,3,1,"3,4,2",,5,3,1,2,3,3,1,"F",170,62,3,4,6,1,"1,8","1,3","4,1,6,10,3","1,6,4",1,1989-02-15,"false"
4,1,1,3,,,5,3,5,3,3,3,2,"C",160,60,"3,5",4,"1,5",1,"8,9",,,,14,1978-02-12,"false"
1,4,3,2,,"2,4",2,5,2,7,8,5,8,"D",172,109,"3,2",2,"4,1",1,5,1,6,5,5,1991-11-04,"true"
2,1,3,1,3,2,6,5,3,4,3,3,3,"C","162.56","60.84","2,4,3",4,"5,6",1,,1,"10,1,6",,6,1993-06-09,"true"
2,1,2,2,,4,2,3,5,3,4,3,3,"B",166,78,"5,4",3,"1,5",1,,3,"10,1",,3,1986-12-17,"false"
2,1,2,2,"1,4,5",,4,4,6,4,5,7,5,"C",179,95,"5,3",2,"5,6",2,"8,7",4,"10,6,3","6,4",14,1985-10-21,"false"
1,4,1,3,4,"2,3,5",5,6,2,4,5,4,4,"D",165,72,"4,3,1",3,4,2,"6,8,7","1,2",6,3,4,1991-07-30,"true"
2,1,1,2,1,"2,3,4,5",2,3,5,4,4,1,4,"D",155,58,"3,4",3,"1,3",1,"5,9",,,,2,1970-11-29,"true"
2,1,1,1,,,4,5,3,2,2,2,3,"C",150,54,"1,3,4",3,1,1,,2,"6,1,10",3,2,1976-07-18,"true"
3,3,2,2,,"4,5",2,5,2,4,4,2,5,"D",160,68,"3,5,2",2,"5,6",1,3,3,"4,1",4,9,1968-03-22,"true"
2,1,3,1,1,"2,3,4",6,5,6,6,7,6,7,"E",170,91,"4,5,2",5,"1,5",1,2,"3,2","1,6,10",5,6,1969-01-15,"true"
2,1,2,3,1,,1,4,2,3,4,2,4,"B",160,66,"3,4,5",1,1,1,6,"1,2","1,10",5,2,1990-07-15,"false"
1,4,1,2,1,,4,3,2,4,4,7,6,"D",175,67,"3,5",3,"3,5",1,,3,"1,6,10",,4,1977-02-04,"true"
3,4,1,2,,,5,1,2,2,4,4,4,"B","165.1","64.92","3,4",5,5,1,2,3,6,2,14,1969-08-11,"true"
4,2,1,1,"3,4,1",5,1,4,2,1,1,2,1,"A",156,45,"5,4",2,"2,6",1,"7,8,6",3,6,"1,3",5,1999-09-30,"false"
1,1,3,3,,5,2,3,6,4,4,3,3,"B","165.1","67.65","3,5",5,"1,5",1,,1,"10,1,6,3,4","6,2,5",14,1991-03-10,"false"
2,1,1,2,,"3,5",1,4,2,4,5,6,4,"B",172,71,"4,3",2,5,1,"5,8,1",2,"1,10,6,4","1,5,6",3,1985-05-08,"false"
1,2,2,1,"4,2",,4,3,3,1,1,3,1,"D","167.64","52.21","2,4,3",3,4,2,,1,6,,13,,"true"
2,1,1,1,1,2,5,5,2,5,5,4,4,"C",170,85,"5,3",3,"1,5",2,8,2,1,5,4,1987-11-02,"false"
1,4,2,1,"4,3",,5,1,5,5,6,5,4,"E","167.64","95.34","1,5,3",4,"6,1",1,"8,2","1,2","1,10",,2,1982-03-19,"true"
1,4,1,1,"3,5",,4,1,6,3,2,3,3,"B",165,55,"4,5",3,5,1,"2,5,8,9,7",,,,6,1984-02-21,"true"
1,1,2,2,,,2,1,3,7,7,4,6,"D",160,85,"2,5,3",2,"1,2",1,"5,7",2,1,3,12,1968-06-19,"true"
2,1,1,1,,,4,3,6,2,1,3,3,"B",160,53,"3,2",3,"4,6",1,,"3,4","6,10",,1,1980-11-13,"true"
2,1,1,1,,2,2,5,6,6,6,4,5,"C","162.56","95.34",5,4,"5,6",1,5,2,"4,6,1,10","1,6",2,1977-04-22,"true"
1,4,1,2,3,4,2,4,4,4,4,3,4,"E",163,72,"2,4",5,"3,5",1,,2,"6,1,10",5,2,1981-05-17,"false"
1,2,1,1,1,,5,5,2,5,6,3,5,"B","142.24","77.18","2,5",1,"6,3",1,,2,1,"6,4,3",9,1977-12-16,"true"
2,4,3,2,"1,3,5",4,4,3,2,3,4,2,4,"C",158,58,"5,4,1",2,"3,5",1,,"3,4",6,4,4,1971-09-25,"true"
2,3,3,2,,"1,4",4,3,1,5,5,5,5,"C",160,70,1,3,5,2,5,3,"1,10",3,14,1964-06-03,"true"
1,1,2,2,,"1,2,3,4,5",4,5,2,8,6,4,6,"FF","167.64","98.52","3,4,5",4,"1,3",1,,"1,2","4,1","2,5",12,1978-09-21,"false"
2,1,2,2,1,,1,5,2,3,3,2,3,"B",157,55,"2,5,4",3,"5,6",2,,3,"4,10,6",4,5,1982-05-07,"true"
1,1,3,1,"1,3",4,2,6,5,5,4,4,4,"D",167,72,"4,5,3",1,"1,3",1,"1,5,7,8,9",,,,7,1983-07-18,"false"
4,2,3,1,"1,5","3,4",6,4,2,5,5,3,5,"C",165,83,5,1,"6,1",2,"8,7,6",2,"1,10",1,6,1981-07-15,"true"
2,2,2,2,1,"2,4",5,6,2,7,6,3,5,"D","160.02","88.53","1,4,2",4,"5,6",1,"7,8,6",3,6,,6,1971-09-09,"true"
2,4,1,1,4,3,5,5,5,4,5,4,5,"B",174,89,"2,5",1,"5,6",2,,"2,3","4,1",,14,1987-06-28,"true"
1,2,3,2,,,4,6,3,6,6,7,5,"D",168,84,3,4,5,1,7,1,1,,14,1972-09-30,"true"
2,1,2,1,"3,1",2,5,4,3,3,3,4,3,"A",160,60,"1,5,3",2,"6,5",1,"5,8,2",3,"10,1",3,13,1989-01-21,"false"
1,3,2,1,"1,3",2,1,4,6,4,4,4,5,"B",165,68,"1,5",3,"2,5",1,"7,8,9",,,,12,1986-07-28,"true"
1,1,3,3,,"3,4,5",6,5,3,6,6,2,7,"D",154,90,"5,4,3",3,"1,3",1,,3,"1,10",,2,1977-04-02,"true"
1,2,3,2,,"2,4",2,3,4,8,8,6,6,"D","165.1","103.97","3,4",2,1,1,"8,5",2,1,"2,5,3",13,1970-03-23,"true"
2,4,1,1,"3,4,5",2,1,1,6,4,6,4,5,"D",175,90,"1,5",5,"2,6",1,3,3,"10,1",5,13,1996-10-27,"true"
1,1,2,2,1,4,6,5,3,5,5,3,3,"DD","160.02","74.91","2,5,3",1,"1,3",1,"5,8",2,"1,4",,6,1965-09-04,"true"
4,1,3,3,,"2,3,1",6,5,2,5,5,3,5,"C",165,70,"4,5",4,4,2,,3,6,1,2,1960-04-19,"false"
1,3,3,3,,,2,5,3,7,7,4,5,"DD","162.56","null","1,4,3",4,"1,5",1,"1,5","1,3","6,10","2,3,5",6,1976-06-22,"true"
2,4,1,1,"1,3,4,5",,5,5,3,2,1,3,2,"D",167,50,5,4,"5,6",2,8,"2,3","1,6",5,2,1997-02-16,"false"
4,1,1,1,"1,3",,5,4,4,3,3,5,3,"C",162,59,"1,5",1,6,1,,4,"4,1,6,10,3","4,1",12,1985-12-24,"true"
2,1,3,1,1,4,2,4,2,7,6,6,7,"B",165,110,"3,5,1",1,"5,1",1,"1,5,7,8,9",,,,2,1984-04-10,"true"
2,3,1,1,"3,4,5","1,2",2,3,3,3,4,2,5,"C",156,64,5,4,"6,5",1,1,3,"1,10","4,5",6,1986-09-16,"true"
1,1,3,1,,1,5,1,2,3,3,2,3,,160,53,5,2,"4,5",1,,,1,6,4,1969-06-15,"true"
2,4,1,1,"2,3,4",1,1,1,6,2,3,3,2,"B",160,60,5,3,"5,6",1,,3,"1,10",,1,1991-03-26,"true"
1,1,3,1,5,2,2,3,6,6,6,7,6,"C",176,87,"4,3,2",3,"5,3",1,,"1,2,3",1,5,3,1989-11-08,"true"
4,4,1,1,,,1,4,2,4,4,6,3,"C",175,63,"3,1",1,"3,5",1,4,1,"1,10","1,2,6",4,1996-07-25,"false"
2,3,1,2,1,,3,4,2,2,1,2,2,,165,50,"4,2",4,"3,2",2,"5,8",3,"1,4",4,2,1985-03-05,"true"
1,4,1,1,"1,4",,5,3,5,2,2,4,3,"D","172.72","61.74","2,5,3",3,"5,6",2,8,2,"6,1,4,10",3,14,1978-06-03,"true"
2,2,3,1,,,4,4,4,2,2,3,3,"B",165,50,"2,1",3,"5,6",1,"7,8",2,1,,14,1990-05-15,"true"
2,2,2,2,"3,4",1,2,6,2,4,5,6,7,"F",171,82,"2,5",4,"4,6",1,"3,8",2,10,"3,2",1,1990-05-16,"false"
3,2,2,1,,,4,5,2,3,4,6,4,"E",174,70,"4,2",3,"1,5",1,,"1,2","4,1,10",5,13,1995-12-28,"false"
2,4,2,1,"3,1",,2,3,3,5,5,4,6,"D",165,73,"3,5,4",3,"6,5",2,5,1,1,5,14,1976-10-23,"true"
1,4,2,1,"3,5","2,4",6,1,2,5,6,6,5,"B",164,73,"3,1",2,"3,5",1,"6,7,8,9",,,,13,1958-05-20,"true"
2,4,1,1,,"1,4",2,5,2,5,5,5,4,"F",166,75,"4,5",3,"6,5",2,"1,4,2,5",3,"6,1",3,5,1992-06-02,"true"
3,3,2,1,"3,1","2,4",2,5,2,8,8,7,7,"B",174,105,"5,2",1,"5,2",1,,1,"4,6,1",,5,1982-04-27,"true"
4,2,2,2,"1,5","2,3",6,5,2,4,5,3,6,"A",159,66,"5,3",3,"4,3",1,8,"2,3","6,10",,3,1982-07-08,"true"
2,4,1,1,,,3,1,3,2,1,2,4,"A",158,50,3,5,5,2,,,"4,6,1",,2,1975-07-09,"true"
2,1,3,1,,"2,3,5,4",5,3,1,8,7,2,7,"D",158,80,"4,3",3,"5,6",1,"3,5,8",3,"1,6,4,3,10","4,5,3",6,1970-03-17,"true"
1,4,1,3,4,5,1,5,5,5,8,6,6,"C",180,110,"5,1",3,"5,1",1,"2,8,9,7",,,,4,1984-10-09,"true"
2,4,3,1,,"2,4,5",5,4,1,6,5,6,6,"D",169,78,,4,3,1,7,1,1,,14,1969-04-18,"true"
3,3,,2,1,4,5,1,3,4,5,5,4,"C",164,74,"3,4,1",5,"3,5",1,"3,5","4,3","6,1,10","4,1,6",13,1981-12-14,"true"
2,1,1,1,,2,1,1,4,3,3,3,3,"B","162.56","59.93","2,1",4,"2,6",1,"7,9",,,,14,1988-09-14,"true"
1,4,3,3,1,,2,4,2,8,8,7,9,"E",183,135,"2,4,3",4,"1,5",2,5,2,"1,6",5,5,1987-10-12,"true"
2,3,1,1,,,4,2,2,3,2,4,5,"B",162,62,3,3,"1,3",1,"8,7",1,1,5,2,1988-09-09,"true"
1,2,3,2,,4,2,3,3,4,4,5,4,"C",174,78,"4,5,3",3,"5,1",2,,"1,2","4,6,1",,4,1984-03-25,"true"
2,4,1,1,1,2,2,4,5,8,8,6,9,"E",175,110,"4,1",3,"5,3",1,,3,"6,1",2,4,1989-12-17,"true"
1,2,2,1,"3,4,5",,5,5,5,4,3,6,4,"B",170,72,3,3,"3,5",1,7,3,6,1,10,1995-01-24,"true"
1,3,3,3,,"1,2,3",2,5,2,6,7,3,5,,"167.64","88.98","1,5",2,"2,1",1,"8,7,9",,,,2,1986-03-11,"true"
1,1,3,3,,"2,5",5,3,6,7,8,7,5,"E",180,120,4,1,1,,"1,5,8",1,"1,10","3,5",4,1980-10-09,"true"
3,3,3,3,1,"2,3",1,3,2,5,8,3,5,"C",165,78,"1,5",4,"1,2",1,3,2,1,"2,3,1,6,5,4",14,1972-03-19,"true"
3,2,1,1,"3,4",,1,3,3,4,5,4,4,"B","167.64","69.92","4,5",1,"2,6",1,,"3,2","1,6,10,4","2,5,6",14,1968-10-18,"true"
1,3,3,2,1,"2,4",6,5,3,6,6,4,5,"C",168,88,"5,3",3,"5,1",1,8,"3,2","6,1,4,10",,14,1982-01-09,"true"
2,1,2,1,"1,5","2,3,4",2,5,4,8,8,5,7,"E","165.1","114.86","2,5,3",2,"5,3",1,,3,1,6,4,1973-10-22,"false"
3,3,3,2,,5,1,1,3,6,7,6,4,"C",165,90,"2,4,3",3,2,1,"7,6,8,9",,,,7,1984-10-15,"true"
4,3,1,2,3,"1,2",5,4,3,2,2,5,1,,169,55,5,3,"5,6",1,"5,3",1,6,5,1,2006-02-20,"false"
1,2,3,1,,,2,1,2,5,4,3,4,"B","157.48","69.92","1,5,4",5,"6,1",1,2,3,6,4,1,1986-10-05,"true"
2,1,1,1,"3,4","5,2",1,1,3,5,6,6,7,"B",173,102,"2,5",4,"5,6",2,,3,4,,12,1997-02-08,"false"
2,1,3,2,"3,4,5",,3,3,3,3,3,4,3,"C",160,61,"4,5",5,,1,,3,1,3,14,1970-10-27,"true"
3,3,1,1,"3,4,5",2,5,1,6,2,2,1,2,"B",152,45,,4,"4,2",1,"3,7",4,"10,6","3,4",1,1975-11-03,"true"
3,3,1,2,4,"2,3,5",1,5,3,3,4,4,4,"A",172,75,"3,4,2",5,"4,1",1,"2,5","1,3","1,6",5,6,1986-09-13,"true"
3,3,2,1,,,1,4,2,3,4,4,3,"C",160,58,"1,4",3,"1,5",1,"6,8","1,2","4,6",5,,,
2,1,1,1,"1,2,3,4,5",,4,3,2,3,3,4,5,"C",168,68,"3,4",3,6,1,8,,"1,10",4,9,1975-10-17,"true"
2,1,1,1,1,"3,4",5,1,6,5,5,7,4,"C",171,71,5,3,"5,6",1,"1,5",1,"6,10","5,2",14,1983-09-12,"false"
2,1,2,2,1,,5,3,6,3,3,2,4,"C",157,53,"4,2",3,"6,5",1,"3,6",3,10,"1,4",3,1978-12-10,"true"
4,2,2,2,,,6,3,2,4,5,5,5,"D",174,70,"5,4,3",3,"2,5",1,,2,"1,10",,4,1982-12-26,"true"
4,4,1,2,,,5,4,3,1,1,2,3,"C",160,50,3,3,6,3,,4,1,1,4,1992-02-10,"false"
2,1,3,3,"3,4","2,5",4,5,2,2,3,5,3,"C",170,55,"5,4,2",3,"1,4",1,,"2,1","4,1",5,12,1987-09-23,"true"
2,2,1,1,"1,3,5",4,5,1,3,6,7,4,6,"C",168,98,"4,1",3,5,1,"1,7,8,5,6",3,6,2,13,1981-05-27,"false"
4,1,3,1,"3,4,5",,4,3,3,2,2,3,1,,160,50,"3,5",2,"6,5",1,"2,6",3,"1,10",,2,1979-03-29,"false"
1,4,2,2,"3,4,5","1,2",1,1,3,2,2,4,2,"B",168,58,"4,5",1,"2,4",1,"8,7",3,"4,1",4,5,1982-10-07,"true"
1,1,1,1,,"2,3,5",2,4,2,5,5,5,5,"D",175,84,"4,2,1",1,"1,6",1,"7,8",1,"6,1","2,6",14,1990-02-22,"false"
1,1,2,2,1,2,2,5,2,4,4,2,4,"E","157.48","67.65","1,4",1,"2,1",2,"5,7,8",3,4,6,2,1963-03-11,"true"
3,3,3,2,,"1,2,3,4,5",2,4,1,7,7,3,5,"B",152,60,"4,5,1",2,2,,"1,5,7,8",1,"1,10","6,5,3",14,1967-02-25,"true"
2,4,3,1,,,5,3,6,2,2,5,2,"B",167,60,"2,5",4,"6,2",1,"2,6",1,1,5,14,1975-02-05,
1,1,3,1,"5,1","2,4",2,5,2,8,8,6,9,"F","185.42","127.12","1,5",1,"1,6",1,"2,7,9",,,,6,1992-09-17,"true"
1,1,1,1,"1,2,3",,4,5,3,3,3,2,5,"C","154.94","57.66",5,4,"1,6",1,"5,8",4,"6,10,1",6,12,1968-12-23,"true"
2,1,1,2,,4,1,2,5,3,3,4,3,"A",175,60,"3,2",2,"5,6",1,"7,8","2,1","6,1,10","1,3",4,1980-07-03,"true"
3,1,2,1,,4,6,1,3,7,8,4,6,"E",170,90,"4,5",3,"6,2",1,,3,"1,6",,6,1969-12-26,"true"
1,3,3,3,,"2,3,4,5",2,3,6,7,7,5,6,"E",163,85,"4,3",3,3,1,,"1,2",1,"5,3",4,1974-12-05,"true"
4,2,1,1,"1,4,5",,3,3,6,2,2,3,2,"B",170,58,"5,1",3,"3,5",1,,3,6,,3,1984-01-03,"true"
2,1,1,1,,1,5,2,6,2,2,1,1,"B",160,55,3,3,5,1,6,2,"1,10","2,3",14,1986-04-18,"true"
1,1,3,1,5,"2,4",2,5,2,7,5,4,7,"C",165,80,"5,2",4,"3,1",1,"9,7,6",,,,4,1965-04-14,"true"
1,2,3,1,4,,5,1,5,4,4,4,3,"F","167.64","67.19","3,5",4,6,1,"2,7,8,9",,,,3,1985-05-16,"true"
1,3,3,1,,2,6,3,6,4,3,3,4,"B",167,70,3,4,"5,6",1,"7,8,6,9",,,,3,1979-05-23,"true"
2,4,3,2,,,5,4,3,3,3,1,3,"D",161,58,"3,5",5,3,2,"2,5,8",2,"1,6,3",5,14,1960-08-09,"true"
2,4,1,1,1,"2,3,4,5",5,1,2,4,3,2,4,"D","157.48","76.27","1,5",1,"6,5",3,5,4,4,"1,2,5",5,1980-01-12,"true"
2,1,1,1,3,,5,5,3,3,3,3,3,"E",161,60,"4,3",2,5,1,"2,8","3,2","1,4","6,3",10,2004-05-21,"false"
1,4,2,3,,"2,4",6,3,1,4,4,4,4,"C",168,70,"3,2",2,"3,5",1,,2,"1,10",,9,1968-11-02,"true"
2,2,2,1,"1,3",2,3,4,3,5,5,5,5,"B",170,89,"4,5,3",3,"3,5",1,"5,7,8","2,1","6,4,1,10",3,5,1982-08-01,"true"
3,1,2,2,"5,4",2,2,3,5,6,7,6,6,"D",175,94,"2,5,3",2,"6,2",1,,"3,2","1,4,6",,13,1979-02-25,"true"
3,3,3,2,,"2,5",5,4,3,6,6,4,6,"D","167.64","89.44","5,4,1",1,2,2,7,2,4,"1,5",5,1969-04-06,"false"
4,3,1,1,"3,1,4,5",,3,5,2,1,1,0,2,"B",145,40,"5,3",3,"5,6",1,"8,7","3,4","6,4,10","1,4",12,1973-04-10,"true"
3,3,3,2,,"1,3,4",4,4,2,5,5,1,6,,164,72,"1,3",1,2,1,"5,9,7",,,,6,1958-12-31,"true"
2,1,3,1,5,,2,3,2,4,5,1,4,"C",159,78,"1,3,4",1,5,1,"2,3,4,7,8","1,3,2","1,10","1,2,4,5,6,3",14,1992-08-13,"true"
2,4,3,1,,,2,1,2,5,5,5,4,"C",166,70,"3,5,4",5,"1,5",3,"2,3",1,6,6,6,1993-04-19,"true"
3,1,2,2,1,,1,5,2,8,8,5,6,"B",164,100,"2,1",2,"1,5",1,"1,5",1,10,3,10,1989-01-12,"true"
2,2,3,1,"1,3,4",,5,3,6,3,4,2,4,"C",164,63,"4,3",3,"5,6",1,,4,"1,4,6",,1,1988-04-24,"false"
1,1,3,2,1,2,3,3,6,3,3,2,4,"C",154,58,"1,4",3,"3,5",1,"8,7,9",,,,14,1979-02-10,"true"
4,2,1,1,,,1,1,3,3,3,4,3,"C",163,58,"3,5",4,"6,5",1,8,"4,3","6,10",5,5,1980-07-10,"true"
1,4,1,1,"3,4",,6,1,6,4,4,2,3,"C",174,75,"3,5",4,"5,1",1,,4,1,,6,1992-11-16,"true"
